dataTitle	Ammianus_Marcellinus	Braille	BIND	Condom	Association_football	Economy_of_Croatia	Committee_on_Data_for_Science_and_Technology	Isolationism	Clock	Balkans	Afghan_Hound	Digamma	Geography_of_Bosnia_and_Herzegovina	Casa_Mil_	Euler_s_formula	Caesium	Hertz	Dave_Barry	Habitus__sociology_	Empress_Gensh_
                          Foreign relations of Honduras	0.0483	0.1080	0.0507	0.1342	0.1152	0.0391	-0.0054	0.0822	0.1490	0.1042	0.0690	0.0444	0.0195	0.0042	0.0070	0.1279	0.0584	0.0426	0.0512	0.0159
                                           Bahá'í Faith	0.0649	0.1047	0.0465	0.1360	0.1109	0.0180	-0.0068	0.0529	0.1848	0.0964	0.0626	0.0492	0.0182	0.0012	0.0132	0.1372	0.0518	0.0370	0.0567	0.0129
                                              Bundestag	0.0398	0.0948	0.0275	0.0918	0.0801	0.0234	-0.0151	0.0302	0.1471	0.0825	0.0401	0.0494	0.0211	-0.0010	0.0120	0.0989	0.0369	0.0166	0.0397	0.0089
                                       Buddhist cuisine	0.0306	0.0949	0.0317	0.0954	0.0804	0.0120	-0.0181	0.0418	0.1405	0.0644	0.0504	0.0441	0.0152	-0.0004	0.0104	0.0886	0.0432	0.0148	0.0381	0.0132
                                               Blue law	0.0499	0.0985	0.0419	0.1182	0.1035	0.0241	-0.0110	0.0570	0.1568	0.0851	0.0711	0.0548	0.0169	0.0001	0.0048	0.1115	0.0512	0.0411	0.0497	0.0189
                                 Demographics of Angola	0.0348	0.0857	0.0119	0.0914	0.0579	0.0212	-0.0204	0.0320	0.1156	0.0798	0.0395	0.0313	0.0150	-0.0106	0.0047	0.0664	0.0162	0.0078	0.0294	0.0034
                           Enterprise resource planning	0.0396	0.1264	0.0617	0.1483	0.1018	0.0352	-0.0018	0.0485	0.1975	0.0833	0.0639	0.0495	0.0090	-0.0005	0.0161	0.1495	0.0605	0.0287	0.0691	0.0083
                                         Gamma function	0.0323	0.0993	0.0230	0.0861	0.0668	0.0158	-0.0073	0.0279	0.1511	0.0526	0.0407	0.0672	0.0091	-0.0032	0.1004	0.1164	0.0508	0.0070	0.0436	0.0031
                                          Burgess Shale	0.0559	0.1066	0.0450	0.1263	0.0912	0.0295	0.0013	0.0396	0.1750	0.0727	0.0762	0.0568	0.0164	0.0021	0.0117	0.1415	0.0488	0.0262	0.0656	0.0200
                                               Catapult	0.0646	0.1113	0.0438	0.1218	0.0984	0.0208	-0.0100	0.0411	0.1916	0.0844	0.0646	0.0664	0.0151	0.0089	0.0095	0.1281	0.0461	0.0200	0.0498	0.0229
                                            Bicarbonate	0.0247	0.0787	0.0333	0.0824	0.0600	0.0162	-0.0152	0.0261	0.1375	0.0522	0.0446	0.0439	0.0158	0.0013	0.0173	0.1785	0.0495	0.0032	0.0379	0.0064
                                    Economy of Colombia	0.0371	0.1011	0.0433	0.1187	0.0847	0.0510	-0.0122	0.0502	0.1556	0.0858	0.0557	0.0379	0.0222	0.0037	0.0048	0.1226	0.0442	0.0226	0.0478	0.0078
                                       Islamic calendar	0.0444	0.0953	0.0306	0.0874	0.0800	0.0163	-0.0133	0.0381	0.1547	0.0707	0.0495	0.0535	0.0151	-0.0022	0.0146	0.0935	0.0395	0.0145	0.0424	0.0143
                                                Algeria	0.0586	0.1206	0.0586	0.1400	0.1239	0.0484	0.0009	0.0626	0.1784	0.1245	0.0870	0.0602	0.0297	0.0051	0.0156	0.1412	0.0620	0.0489	0.0577	0.0229
                                            Carbon sink	0.0352	0.1050	0.0484	0.1401	0.0990	0.0323	-0.0011	0.0399	0.1705	0.0838	0.0722	0.0484	0.0139	0.0000	0.0139	0.1783	0.0537	0.0326	0.0555	0.0073
                                 Gram-negative bacteria	0.0357	0.1025	0.0413	0.1218	0.0738	0.0236	-0.0036	0.0275	0.1423	0.0554	0.0656	0.0658	0.0053	-0.0023	0.0073	0.1319	0.0386	0.0105	0.0509	0.0152
                                              Greyhound	0.0556	0.1192	0.0522	0.1319	0.1157	0.0345	0.0024	0.0544	0.1673	0.0919	0.1274	0.0600	0.0185	0.0038	0.0080	0.1280	0.0682	0.0550	0.0583	0.0265
                               Congregationalist polity	0.0587	0.0925	0.0324	0.1146	0.0769	0.0117	-0.0139	0.0473	0.1760	0.0699	0.0450	0.0499	0.0089	-0.0060	0.0048	0.1085	0.0321	0.0121	0.0566	0.0116
                                          Atomic theory	0.0515	0.1185	0.0380	0.1229	0.0925	0.0255	0.0004	0.0428	0.1953	0.0666	0.0712	0.0737	0.0138	-0.0020	0.0150	0.1651	0.0636	0.0202	0.0618	0.0106
                                                 Bronze	0.0559	0.1069	0.0389	0.1140	0.0905	0.0275	-0.0092	0.0450	0.1822	0.0753	0.0663	0.0683	0.0247	0.0018	0.0174	0.1378	0.0509	0.0246	0.0534	0.0208
                               Content-control software	0.0468	0.1466	0.0798	0.1572	0.1349	0.0347	-0.0016	0.0515	0.1843	0.1006	0.0828	0.0533	0.0064	-0.0052	0.0120	0.1557	0.0786	0.0556	0.0607	0.0099
                                                Cadmium	0.0467	0.0994	0.0506	0.1467	0.1027	0.0372	0.0128	0.0419	0.1854	0.0885	0.0767	0.0624	0.0117	-0.0005	0.0160	0.2115	0.0609	0.0310	0.0629	0.0197
                                         Book of Isaiah	0.0684	0.0897	0.0362	0.1165	0.0931	0.0174	-0.0088	0.0480	0.1654	0.0808	0.0559	0.0597	0.0155	0.0086	0.0207	0.1257	0.0352	0.0282	0.0594	0.0305
                                           Cypress Hill	0.0414	0.0950	0.0424	0.0889	0.0752	0.0189	-0.0123	0.0326	0.1364	0.0655	0.0678	0.0431	0.0118	-0.0031	0.0033	0.0985	0.0481	0.0430	0.0520	0.0180
                                      Ephrem the Syrian	0.0720	0.0826	0.0369	0.1059	0.0785	0.0206	-0.0121	0.0436	0.1584	0.0874	0.0543	0.0663	0.0187	0.0042	0.0154	0.0989	0.0410	0.0268	0.0514	0.0219
                                    Molecular diffusion	0.0294	0.0955	0.0157	0.0918	0.0603	0.0010	-0.0286	0.0225	0.1488	0.0408	0.0282	0.0516	0.0132	-0.0037	0.0292	0.1179	0.0485	-0.0087	0.0388	-0.0046
                                        Hiberno-English	0.0420	0.1063	0.0411	0.0966	0.0964	0.0211	-0.0072	0.0395	0.1517	0.0813	0.0626	0.0574	0.0118	-0.0010	0.0031	0.1025	0.0500	0.0294	0.0518	0.0170
