dataTitle	Ammianus_Marcellinus	Braille	BIND	Condom	Association_football	Economy_of_Croatia	Committee_on_Data_for_Science_and_Technology	Isolationism	Clock	Balkans	Afghan_Hound	Digamma	Geography_of_Bosnia_and_Herzegovina	Casa_Mil_	Euler_s_formula	Caesium	Hertz	Dave_Barry	Habitus__sociology_	Empress_Gensh_
                                   Frequency modulation	0.0312	0.0998	0.0192	0.0903	0.0645	0.0006	-0.0230	0.0298	0.1898	0.0495	0.0319	0.0427	0.0068	-0.0100	0.0312	0.1268	0.0775	0.0059	0.0383	0.0042
                                          Harry Shearer	0.0535	0.1171	0.0616	0.1291	0.1171	0.0394	0.0047	0.0454	0.1684	0.0981	0.0922	0.0538	0.0036	0.0015	0.0050	0.1253	0.0655	0.0732	0.0598	0.0275
                                              Gallienus	0.0925	0.0756	0.0264	0.0828	0.0618	0.0164	-0.0148	0.0383	0.1359	0.0673	0.0514	0.0572	0.0148	-0.0045	0.0128	0.0801	0.0295	0.0240	0.0477	0.0412
                                     Hen Wlad Fy Nhadau	0.0499	0.1048	0.0458	0.1054	0.1061	0.0260	-0.0047	0.0435	0.1449	0.0771	0.0671	0.0510	0.0171	0.0041	0.0061	0.0973	0.0489	0.0312	0.0486	0.0188
                                        French language	0.0436	0.1139	0.0330	0.1090	0.0820	0.0168	-0.0110	0.0405	0.1487	0.0806	0.0550	0.0558	0.0114	-0.0030	0.0048	0.0923	0.0446	0.0238	0.0393	0.0089
                                             Cantor set	0.0289	0.1048	0.0140	0.0721	0.0562	0.0018	-0.0221	0.0216	0.1550	0.0412	0.0261	0.0532	0.0105	-0.0054	0.0459	0.0962	0.0462	-0.0034	0.0345	-0.0022
                                               Dictator	0.0510	0.0898	0.0362	0.1101	0.0993	0.0211	-0.0102	0.0500	0.1647	0.0937	0.0579	0.0514	0.0179	0.0013	0.0146	0.1091	0.0471	0.0234	0.0512	0.0210
                                       Arthur St. Clair	0.0616	0.0765	0.0254	0.0877	0.0771	0.0120	-0.0199	0.0441	0.1492	0.0670	0.0433	0.0346	0.0132	-0.0067	0.0030	0.0889	0.0207	0.0200	0.0311	0.0161
                                        Galicia (Spain)	0.0458	0.0835	0.0282	0.0855	0.0710	0.0239	-0.0153	0.0391	0.1401	0.0738	0.0555	0.0526	0.0293	-0.0008	0.0117	0.0884	0.0357	0.0168	0.0373	0.0135
                                  Glasgow City Chambers	0.0406	0.0992	0.0465	0.1064	0.1135	0.0314	-0.0172	0.0376	0.1706	0.0853	0.0663	0.0520	0.0288	0.0159	0.0171	0.1153	0.0553	0.0337	0.0468	0.0196
                                             Cue sports	0.0330	0.1026	0.0243	0.0936	0.0986	0.0096	-0.0200	0.0328	0.1577	0.0559	0.0544	0.0434	0.0121	-0.0040	0.0072	0.0973	0.0348	0.0128	0.0321	0.0048
                                Chemical thermodynamics	0.0392	0.1045	0.0236	0.0996	0.0728	0.0061	-0.0225	0.0303	0.1701	0.0446	0.0319	0.0486	0.0123	-0.0083	0.0407	0.1436	0.0505	-0.0046	0.0546	0.0013
                                    Continuum mechanics	0.0290	0.0850	0.0186	0.0816	0.0710	0.0014	-0.0205	0.0237	0.1580	0.0453	0.0261	0.0469	0.0077	-0.0098	0.0527	0.1157	0.0470	-0.0047	0.0393	-0.0033
                                       Aleister Crowley	0.0498	0.0617	0.0224	0.0866	0.0545	0.0058	-0.0196	0.0344	0.1191	0.0538	0.0504	0.0397	0.0173	-0.0057	0.0141	0.0776	0.0247	0.0197	0.0492	0.0180
                                               Behavior	0.0441	0.1021	0.0425	0.1508	0.0925	0.0158	-0.0064	0.0472	0.1673	0.0749	0.0575	0.0473	0.0057	-0.0036	0.0053	0.1283	0.0408	0.0206	0.0798	0.0102
                                         Bioinformatics	0.0340	0.1157	0.0404	0.1329	0.0858	0.0209	-0.0100	0.0405	0.1800	0.0637	0.0547	0.0598	0.0116	-0.0054	0.0210	0.1470	0.0579	0.0137	0.0612	0.0054
                                            Helen Gandy	0.0421	0.0741	0.0214	0.0794	0.0659	0.0067	-0.0206	0.0349	0.1233	0.0448	0.0425	0.0297	0.0015	-0.0052	0.0015	0.0798	0.0224	0.0305	0.0353	0.0138
                                                 Nepeta	0.0161	0.0487	0.0096	0.0574	0.0339	-0.0002	-0.0117	0.0071	0.0975	0.0269	0.0385	0.0210	0.0025	-0.0099	-0.0092	0.0657	0.0224	0.0219	0.0281	0.0148
                                                 Esther	0.0662	0.0836	0.0403	0.1010	0.0772	0.0181	-0.0091	0.0479	0.1569	0.0769	0.0518	0.0590	0.0119	0.0005	0.0093	0.1107	0.0390	0.0242	0.0484	0.0244
                                             Conjecture	0.0436	0.1093	0.0363	0.1177	0.0846	0.0174	-0.0162	0.0348	0.1791	0.0590	0.0573	0.0726	0.0166	0.0044	0.0380	0.1295	0.0538	0.0080	0.0516	0.0079
                                              Carbonate	0.0295	0.0865	0.0232	0.0797	0.0546	0.0068	-0.0224	0.0242	0.1435	0.0493	0.0380	0.0457	0.0218	0.0001	0.0198	0.1823	0.0439	-0.0027	0.0408	0.0054
                                                 Aedile	0.0537	0.0932	0.0309	0.0966	0.0838	0.0088	-0.0175	0.0393	0.1432	0.0628	0.0476	0.0544	0.0068	-0.0032	0.0137	0.0826	0.0302	0.0063	0.0464	0.0195
                                     Computer animation	0.0314	0.1139	0.0376	0.0994	0.0806	0.0064	-0.0186	0.0375	0.1782	0.0537	0.0556	0.0494	0.0103	-0.0068	0.0172	0.1084	0.0519	0.0243	0.0546	0.0077
                                                Albania	0.0544	0.1058	0.0513	0.1263	0.1162	0.0440	-0.0026	0.0695	0.1754	0.1426	0.0772	0.0587	0.0321	0.0032	0.0122	0.1269	0.0572	0.0392	0.0522	0.0211
                                            Harpsichord	0.0440	0.0922	0.0218	0.0868	0.0729	0.0045	-0.0226	0.0308	0.1596	0.0493	0.0510	0.0579	0.0151	0.0005	0.0060	0.0881	0.0342	0.0127	0.0429	0.0101
                                          Bootstrapping	0.0334	0.1161	0.0406	0.1120	0.0899	0.0092	-0.0214	0.0421	0.1685	0.0530	0.0492	0.0524	0.0049	-0.0044	0.0073	0.1059	0.0464	0.0120	0.0468	0.0074
                                          Final Fantasy	0.0622	0.1622	0.0924	0.1886	0.1863	0.0463	0.0165	0.0573	0.2082	0.1392	0.1455	0.0663	0.0138	0.0134	0.0084	0.1870	0.0985	0.0999	0.0684	0.0297
                                   Angolan Armed Forces	0.0487	0.0977	0.0551	0.1045	0.0941	0.0329	-0.0058	0.0504	0.1479	0.0840	0.0622	0.0444	0.0203	0.0043	0.0076	0.1098	0.0475	0.0322	0.0518	0.0182
                                         Banach algebra	0.0170	0.0919	0.0184	0.0558	0.0554	-0.0006	-0.0272	0.0265	0.1450	0.0370	0.0175	0.0408	0.0125	-0.0117	0.0642	0.0871	0.0471	-0.0161	0.0433	-0.0099
                                Accumulator (computing)	0.0417	0.1273	0.0291	0.0988	0.0748	0.0083	-0.0216	0.0297	0.1928	0.0517	0.0481	0.0590	0.0105	-0.0049	0.0205	0.1251	0.0632	0.0085	0.0515	0.0012
                                             Derivative	0.0188	0.1013	0.0088	0.0695	0.0546	-0.0027	-0.0242	0.0140	0.1465	0.0334	0.0209	0.0528	0.0024	-0.0066	0.0944	0.0904	0.0515	-0.0121	0.0325	-0.0087
                                            Hymenoptera	0.0461	0.0884	0.0377	0.1243	0.0819	0.0280	0.0077	0.0343	0.1617	0.0671	0.0732	0.0619	0.0082	-0.0029	0.0128	0.1269	0.0421	0.0206	0.0616	0.0152
                                Commonwealth of England	0.0538	0.0925	0.0294	0.1019	0.0990	0.0128	-0.0134	0.0405	0.1599	0.0709	0.0655	0.0474	0.0180	0.0012	0.0114	0.0978	0.0413	0.0202	0.0368	0.0130
                                                 Gdańsk	0.0505	0.0913	0.0471	0.1100	0.0966	0.0341	-0.0016	0.0480	0.1638	0.0999	0.0705	0.0542	0.0246	0.0056	0.0126	0.1137	0.0492	0.0373	0.0524	0.0238
                                             Heraclitus	0.0672	0.0882	0.0366	0.1122	0.0890	0.0175	-0.0012	0.0439	0.1718	0.0850	0.0586	0.0682	0.0079	-0.0079	0.0151	0.1051	0.0460	0.0327	0.0701	0.0127
                                          Atomic number	0.0462	0.1095	0.0227	0.0906	0.0725	0.0126	-0.0179	0.0406	0.1826	0.0518	0.0535	0.0644	0.0163	0.0041	0.0226	0.1553	0.0605	0.0044	0.0439	0.0065
                                             Cyberspace	0.0418	0.1059	0.0325	0.0961	0.0762	0.0033	-0.0156	0.0440	0.1466	0.0588	0.0431	0.0478	0.0125	-0.0030	0.0131	0.1035	0.0394	0.0108	0.0560	0.0107
                                         Chagas disease	0.0502	0.1079	0.0459	0.1721	0.1006	0.0422	0.0184	0.0390	0.1714	0.0809	0.0978	0.0606	0.0063	-0.0059	0.0055	0.1522	0.0488	0.0356	0.0635	0.0170
                                              Asymptote	0.0261	0.0951	0.0090	0.0749	0.0599	0.0034	-0.0213	0.0231	0.1492	0.0395	0.0307	0.0550	0.0139	-0.0025	0.0658	0.0954	0.0448	-0.0043	0.0372	-0.0016
                                                 Hacker	0.0462	0.1284	0.0641	0.1373	0.1089	0.0130	-0.0099	0.0466	0.1872	0.0787	0.0600	0.0585	0.0080	-0.0065	0.0140	0.1273	0.0634	0.0302	0.0618	0.0052
                                          Björn Ulvaeus	0.0465	0.0973	0.0400	0.1034	0.0957	0.0205	-0.0051	0.0479	0.1384	0.0761	0.0610	0.0396	0.0135	0.0002	0.0038	0.1007	0.0466	0.0433	0.0477	0.0219
                                           Bumin Qaghan	0.0713	0.0833	0.0509	0.0915	0.0882	0.0358	0.0049	0.0441	0.1498	0.0994	0.0580	0.0588	0.0097	0.0076	0.0143	0.1002	0.0368	0.0419	0.0494	0.0517
                                  Arnold Schwarzenegger	0.0522	0.1084	0.0625	0.1450	0.1313	0.0376	0.0037	0.0517	0.1648	0.1069	0.1020	0.0502	0.0062	0.0041	0.0030	0.1284	0.0633	0.0756	0.0570	0.0234
                                                  Earth	0.0558	0.1200	0.0667	0.1566	0.1379	0.0566	0.0287	0.0533	0.2075	0.1209	0.0994	0.0703	0.0116	0.0048	0.0191	0.1921	0.0721	0.0559	0.0629	0.0261
                                             Immunology	0.0510	0.1224	0.0490	0.1721	0.1079	0.0429	0.0077	0.0438	0.1901	0.0809	0.0817	0.0684	0.0163	-0.0015	0.0180	0.1663	0.0602	0.0247	0.0815	0.0153
                                              Grappling	0.0274	0.1062	0.0238	0.0904	0.0948	-0.0018	-0.0283	0.0306	0.1482	0.0473	0.0421	0.0471	0.0149	-0.0139	0.0092	0.0910	0.0409	0.0064	0.0467	0.0017
                           International Criminal Court	0.0498	0.1202	0.0503	0.1354	0.1220	0.0392	-0.0016	0.0578	0.1631	0.1063	0.0752	0.0484	0.0161	0.0051	0.0116	0.1312	0.0657	0.0369	0.0569	0.0201
                            Agarose gel electrophoresis	0.0394	0.1071	0.0332	0.1343	0.0854	0.0219	-0.0031	0.0340	0.1782	0.0646	0.0707	0.0652	0.0085	-0.0098	0.0205	0.1558	0.0525	0.0138	0.0591	0.0081
                                                 Diving	0.0265	0.0986	0.0135	0.0864	0.1000	0.0042	-0.0264	0.0330	0.1510	0.0497	0.0456	0.0380	0.0162	-0.0087	0.0083	0.0938	0.0347	0.0028	0.0363	0.0020
                                           Gustav Klimt	0.0523	0.0837	0.0385	0.0950	0.0776	0.0206	-0.0109	0.0381	0.1462	0.0712	0.0645	0.0463	0.0132	0.0044	0.0070	0.0925	0.0455	0.0359	0.0442	0.0246
                                              Destroyer	0.0388	0.0845	0.0261	0.0858	0.0721	0.0131	-0.0163	0.0391	0.1458	0.0577	0.0517	0.0469	0.0158	-0.0020	0.0128	0.0947	0.0341	0.0115	0.0377	0.0101
                                             Chupacabra	0.0587	0.1186	0.0737	0.1459	0.1310	0.0431	0.0064	0.0544	0.1603	0.1076	0.1080	0.0638	0.0159	0.0105	0.0098	0.1358	0.0747	0.0676	0.0641	0.0266
                                            Gia Carangi	0.0538	0.1088	0.0585	0.1372	0.1133	0.0294	0.0022	0.0427	0.1706	0.0912	0.0850	0.0556	0.0048	0.0056	0.0075	0.1216	0.0584	0.0543	0.0553	0.0337
                                                Holland	0.0501	0.0915	0.0241	0.0882	0.0833	0.0224	-0.0232	0.0453	0.1518	0.0704	0.0537	0.0658	0.0407	-0.0039	0.0145	0.0945	0.0336	0.0060	0.0405	0.0142
                                                 Aarhus	0.0607	0.1347	0.0891	0.1612	0.1459	0.0685	0.0149	0.0715	0.1914	0.1406	0.1156	0.0724	0.0271	0.0122	0.0154	0.1549	0.0950	0.0731	0.0690	0.0228
                                             Blue whale	0.0531	0.1135	0.0567	0.1374	0.1136	0.0438	0.0103	0.0469	0.1732	0.0974	0.0980	0.0641	0.0202	0.0012	0.0138	0.1500	0.0683	0.0468	0.0626	0.0214
                                     Aragonese language	0.0325	0.0824	0.0151	0.0657	0.0455	0.0035	-0.0193	0.0274	0.1152	0.0561	0.0337	0.0574	0.0071	-0.0058	-0.0005	0.0592	0.0167	0.0097	0.0234	0.0023
                     International Atomic Energy Agency	0.0495	0.1275	0.0692	0.1539	0.1374	0.0484	0.0069	0.0674	0.1856	0.1147	0.0886	0.0548	0.0197	0.0082	0.0191	0.1842	0.0856	0.0515	0.0587	0.0251
                                               Hogmanay	0.0535	0.1019	0.0363	0.1024	0.0989	0.0216	-0.0082	0.0488	0.1527	0.0749	0.0606	0.0605	0.0166	0.0024	0.0088	0.0997	0.0404	0.0305	0.0498	0.0277
       Major League Baseball Most Valuable Player Award	0.0498	0.1414	0.0871	0.1423	0.1480	0.0699	0.0230	0.0479	0.1939	0.1783	0.1014	0.0640	0.0090	0.0153	0.0055	0.1526	0.0962	0.0874	0.0556	0.0372
                                                 Cicero	0.0711	0.0796	0.0346	0.0978	0.0821	0.0167	-0.0129	0.0487	0.1469	0.0774	0.0533	0.0552	0.0088	-0.0046	0.0113	0.0906	0.0406	0.0316	0.0597	0.0252
                                  Agrippina the Younger	0.0454	0.0556	0.0058	0.0534	0.0452	-0.0024	-0.0266	0.0231	0.0952	0.0355	0.0296	0.0285	0.0022	-0.0111	-0.0017	0.0441	0.0124	0.0026	0.0229	0.0192
                                                Halakha	0.0429	0.0896	0.0202	0.0847	0.0695	0.0014	-0.0202	0.0363	0.1311	0.0586	0.0373	0.0504	0.0145	-0.0044	0.0124	0.0814	0.0337	0.0064	0.0526	0.0116
                                              Architect	0.0305	0.1096	0.0402	0.1241	0.0931	0.0018	-0.0254	0.0361	0.1796	0.0544	0.0411	0.0489	0.0094	0.0133	0.0087	0.1240	0.0392	0.0032	0.0567	0.0018
                                                 Anchor	0.0278	0.0902	0.0145	0.0867	0.0653	-0.0022	-0.0261	0.0265	0.1475	0.0397	0.0491	0.0517	0.0129	-0.0083	0.0057	0.0862	0.0372	-0.0006	0.0350	0.0017
                                         Cambridgeshire	0.0589	0.0789	0.0307	0.0862	0.0853	0.0160	-0.0195	0.0428	0.1674	0.0690	0.0498	0.0351	0.0248	0.0021	0.0036	0.0932	0.0461	0.0171	0.0539	0.0083
                                  AOL Instant Messenger	0.0508	0.1455	0.0856	0.1512	0.1260	0.0380	0.0042	0.0554	0.1909	0.1054	0.0941	0.0587	0.0127	0.0059	0.0143	0.1475	0.0864	0.0604	0.0625	0.0204
                                       Epistle of James	0.0702	0.1123	0.0592	0.1343	0.1116	0.0317	0.0045	0.0492	0.1860	0.1023	0.0653	0.0834	0.0159	0.0061	0.0236	0.1278	0.0557	0.0421	0.0754	0.0295
                                                  Haiku	0.0624	0.1085	0.0358	0.0938	0.0856	0.0158	-0.0121	0.0579	0.1502	0.0694	0.0578	0.0609	0.0151	0.0015	0.0097	0.0909	0.0427	0.0250	0.0551	0.0312

